username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Robert Boas,1518701008381116416,"Goodyear, AZ",2023-01-15 02:04:06,@BIrvin_WVU11 @Seahawks Thank you for all the effort!,0,Twitter for iPhone,
Bennie Benjamin,203803713,"Phoenix, AZ",2023-01-15 01:57:54,Shame on the NFL for putting this game on Saturday night football. Niners Seahawks is at least a rivalry game and s… https://t.co/3iGnIaFQdL,0,Twitter for iPhone,
Craig Wells,1493372912736210944,"Phoenix, AZ",2023-01-15 01:47:11,@ForestFolfer @FootballLearn1 @WFIncitePodcast Yeah well they struggled against the Seahawks to get that one. What… https://t.co/EEHCVYHgUp,0,Twitter for Android,
Gabe Owens,3241638373,"Surprise, AZ",2023-01-15 01:46:34,Hey nice season Seahawks high-five.,0,Twitter for iPhone,
"Dr. Brandin Francabandera, Ph.D.",315014273,"Phoenix, AZ",2023-01-15 01:41:06,@Seahawks This did not age well.,0,Twitter for Android,
RealRwfort,1077579977753690112,"Phoenix, AZ",2023-01-15 01:35:37,Rams-Seahawks refs under heavy scrutiny: 'Worst officiated game of the year' https://t.co/OAZ6a7YqV9 via @nypostsports,0,Twitter for iPad,
Gavin Hite,278681758,"Scottsdale, Arizona",2023-01-15 01:35:16,Seattle Kraken picking up for the Seahawks. WOW,0,Twitter Web App,
NICELOOKKNOX,30025032,PHX,2023-01-15 01:26:04,Seahawks got smoked ! 🚬,0,Twitter for iPhone,
xJoooKeR,99889402,"Phoenix, AZ",2023-01-15 01:21:26,@RealSkipBayless what wild chances? lmao every guy he threw to was wide open. seahawks made it so easy for him,0,Twitter Web App,
Mike Jurecki,61579489,"Phoenix, AZ",2023-01-15 01:20:24,Turnovers get magnified in the postseason just ask the Seahawks in the second half. (2),0,Twitter for iPhone,
Moose,983215685244338178,"Maryvale, AZ",2023-01-15 01:19:57,Y’all really thought the Seahawks could do it?? 😂😂 I sure the hell didnt,0,Twitter for iPhone,
brando,1439936978,Yay area,2023-01-15 01:16:06,FUCK SEAHAWKS FANS WASHINGTON SUCKS,0,Twitter for iPhone,
Paolo Mottola Sr,14642577,"Phoenix, AZ",2023-01-15 01:14:46,@ZachMiller86 No way refs were going to let #Seahawks win all sports are a #scam,0,Twitter for iPhone,
#SabonersForSabonis 🌵,3113311443,"Phoenix, AZ",2023-01-15 01:13:02,@Chase_Everett_ @Seahawks That was an awesome song during my McClatchy HS days in the 90's..,0,Twitter for Android,
🦈,2955379599,CA ➡️ AZ ,2023-01-15 01:10:35,LAST TIME FOR THIS SEASON #Seahawks https://t.co/GXGXliiDZX,1,Twitter for iPhone,
Dan Manucci,426407477,"Phoenix, AZ",2023-01-15 01:07:01,Keep on @brockpurdy13! Great game for the @49ers as they beat the @Seahawks 41-23! Kept on Brock! Lab work paying o… https://t.co/4NvMwUB97r,7,Twitter for iPhone,
Andy Greenberg,225669465,"Scottsdale, AZ",2023-01-15 00:58:35,"This #Seahawks season was a MASSIVE success!

-Playoff appearance
-Hit after hit in the draft class
-Geno career re… https://t.co/ijGOOPnqFv",0,Twitter for iPhone,
Mobee,1578835697397428224,Phoenix Az,2023-01-15 00:56:41,"@Seahawks @Toyota Ok, Geno, quit worrying about what pete thinks. Just shut out his voice, and play. Dont hold back… https://t.co/LmRJMc8eJY",0,Twitter Web App,
Katherine Dwyer,1570155965030473729,"Phoenix, AZ",2023-01-15 00:53:57,I’d rather see the Lions here today! Sorry Seahawks! #SFvsSEA,0,Twitter for iPhone,
Jonathaniel Daniel,2956799239,"Phoenix, AZ",2023-01-15 00:49:29,@Seahawks @Toyota After talking all that shit… https://t.co/Sh7y0mOTrO,0,Twitter for iPhone,
Isaac ☀️ (24-24),871036856434950144,"Phoenix, AZ",2023-01-15 00:48:55,@KrookediSpencer I said I’m more loyal to Seattle sports than AZ sports. I am a Seahawks and Mariners fan after all,0,Twitter for iPhone,
Greg Plank,1511134774655545352,"Goodyear, AZ",2023-01-15 00:47:22,@FieldGulls They were absolutely exposed in the 2nd half. The 49’ers made halftime adjustments and the Seahawks wer… https://t.co/5ML0oB6Cw9,0,Twitter for iPhone,
Spencer,2919234474,Phoenix,2023-01-15 00:45:24,@mikalbridge The Seahawks getting blown out make you not want to be a Suns fan lol wut,0,Twitter for iPhone,
KP,233611676,"Phoenix, AZ",2023-01-15 00:43:49,"Seattle poked the bear and f'd around and found out.

https://t.co/HX5yLdLJFY",6,TweetDeck,
Isaac ☀️ (24-24),871036856434950144,"Phoenix, AZ",2023-01-15 00:41:13,"This is how I know I’ll have no problem switching to the SuperSonics when they return. 

Pretty embarrassed to be a… https://t.co/gQqdExNeyX",0,Twitter for iPhone,
Kurtis,1489305024773636096,Peoria,2023-01-15 00:39:45,If you bet the Seahawks +17.5 that’s on you! https://t.co/ysozsWs4OR,0,Twitter for iPhone,
Mark Harris,2620489274,PHX,2023-01-15 00:37:49,The #Seahawks could use every single one of their draft picks on defense and I wouldn’t be mad,0,Twitter for iPhone,
Isaac ☀️ (24-24),871036856434950144,"Phoenix, AZ",2023-01-15 00:37:19,Proud of the season we had. #Seahawks,1,Twitter for iPhone,
KINGDOM JEFF ❤️🏈🏹💛,1340326398,"Phoenix, AZ",2023-01-15 00:35:50,@Seahawks Show ends.,0,Twitter for iPhone,
Cha's dad,752219366016421889,"Phoenix, AZ",2023-01-15 00:35:18,"Fox announcer just said people thought Seahawks would win 4-5 games and go 9-8, WHAT?",0,Twitter for Android,
KINGDOM JEFF ❤️🏈🏹💛,1340326398,"Phoenix, AZ",2023-01-15 00:34:27,"FINAL IN SANTA CLARA, CA 

7️⃣ @Seahawks 2️⃣3️⃣
2️⃣ @49ers 4️⃣1️⃣

B. Purdy 18/30 332 3 TD 1 RUSH
C. McCaffery 17/1… https://t.co/vFBifPzgVJ",2,Twitter for iPhone,
MT,1241854528304984064,"Phoenix, AZ",2023-01-15 00:33:40,@rainnwilson @Seahawks Young and overachieving team!,0,Twitter for iPad,
Janoya14,1340954508294164483,"Glendale, AZ",2023-01-15 00:32:30,@Seahawks You bunch of jabronies🤣🤣🤣🤣🤣🤣🤣,0,Twitter for Android,
Isaiah Huston,513621229,"Scottsdale, AZ",2023-01-15 00:31:59,Seahawks plus 17.5 and they lose by 18 I can’t make this stuff up smh,0,Twitter for iPhone,
mase,1506601844763729924,,2023-01-15 00:24:04,the seahawks don’t think they gone win like dis righ,0,Twitter for iPhone,
Hector Lopez,1460477733780144130,"Phoenix, AZ",2023-01-15 00:23:15,Seahawks didn’t deserve to be in playoffs!! Refs stole this outcome from Lions!!!,0,Twitter for iPhone,
